gene	effect_size	fitter_allele	sc_mean	sp_mean	mwu_pval		
YGR198W	1.83076201	sp	-2.574864269	-0.744102259	0.029206558		
YMR207C	1.814616906	sp	-1.167793903	0.646823003	4.96E-13		
YGL082W	1.766718156	sp	-1.22516283	0.541555326	0.006405		
YNL049C	1.606130739	sp	-1.331485825	0.274644914	0.008271928		
YDL035C	1.347538617	sp	-1.682855753	-0.335317136	0.019318356		
YDR508C	1.333800912	sp	-1.188471998	0.145328914	0.003191468		
YBR136W	1.329117777	sp	-1.903649044	-0.574531267	0.001367215		
YML099C	1.317683855	sp	-1.47857173	-0.160887874	0.045667555		
YPL254W	1.307083834	sp	-0.84700915	0.460074684	0.049292116		
YIL152W	1.292339943	sp	-0.883357735	0.408982207	0.026814456		
YKL017C	1.263389613	sp	-1.228244077	0.035145536	0.01519366		
YGR140W	1.25848744	sp	-1.469052399	-0.210564959	0.026115129		
YJR127C	1.251332223	sp	-0.797032293	0.45429993	0.003227284		
YDR375C	1.240111304	sp	-1.11647336	0.123637944	0.008271928		
YOR091W	1.203807902	sp	-0.802415505	0.401392398	0.01443225		
YLR397C	1.178084578	sp	-1.919779518	-0.74169494	0.006405		
YNL132W	1.138463513	sp	-0.542699464	0.595764048	0.008272826		
YMR078C	1.114360882	sp	-1.089395846	0.024965036	0.017317938		
YLR422W	1.107091805	sp	-1.37280158	-0.265709775	0.003430431		
YMR125W	1.105295384	sp	-1.201567546	-0.096272162	0.045241345		
YOR371C	1.103895761	sp	0.430116154	1.534011915	0.01519366		
YMR094W	1.061998254	sp	-0.999166056	0.062832198	0.020198562		
YMR167W	1.021163406	sp	-1.180943783	-0.159780377	0.01443225		
YDR103W	0.997183983	sp	-0.979727627	0.017456357	0.020977171		
YDR318W	0.994506421	sp	-1.022388696	-0.027882275	0.008271928		
YAL026C	0.985272456	sp	-0.800298162	0.184974294	0.021565885		
YDR180W	0.970357804	sp	-1.085581448	-0.115223644	0.000300384		
YOR092W	0.947577774	sp	-1.144044444	-0.19646667	0.049969198		
YDR235W	0.943078038	sp	-0.691962037	0.251116001	0.045241345		
YER151C	0.925706823	sp	-0.831712505	0.093994318	0.016880706		
YMR275C	0.847921258	sp	-0.872076824	-0.024155566	0.044091621		
YKL114C	0.845045094	sp	-1.073560728	-0.228515634	0.049048849		
YOL081W	0.844878148	sp	-0.158277001	0.686601147	5.04E-07		
YPR049C	0.826837597	sp	-0.905712111	-0.078874514	0.014389563		
YGL095C	0.804555878	sp	-0.893001764	-0.088445887	0.049993093		
YDR456W	0.782254894	sp	-0.7416379	0.040616993	0.008271928		
YKL197C	0.770188824	sp	-1.072067945	-0.301879121	0.016585019		
YIL068C	0.769083675	sp	-0.435621498	0.333462177	0.042440757		
YOR326W	0.708175639	sp	-0.993249103	-0.285073465	0.015373284		
YNR045W	0.688218071	sp	-0.428444584	0.259773487	0.044091621		
YJR107W	0.64094167	sp	-0.823479787	-0.182538116	0.01443225		
YPL268W	0.628621768	sp	-0.696802384	-0.068180616	0.045241345		
YJL062W	0.612125508	sp	-0.497154199	0.114971309	0.029206558		
YCR042C	0.599253382	sp	-1.031402158	-0.432148777	0.008271928		
